word	valence	arousal	dominance	goodness	energy	structure	power	danger	structure
accustomed	0.041980	-0.134966	-0.059155	0.027935	-0.150116	-0.012740	-0.086395	-0.125901	-0.012740
ace	0.142980	-0.018966	0.045845	0.148392	-0.013601	0.026451	0.095311	-0.114546	0.026451
acetic	-0.167020	-0.079966	0.018845	-0.123239	-0.029119	-0.136417	-0.107733	0.066553	-0.136417
acetylene	-0.194020	-0.030966	0.008845	-0.158690	0.010194	-0.115735	-0.105003	0.119419	-0.115735
ache	-0.354020	0.260034	-0.188155	-0.435172	0.169007	0.102041	-0.188207	0.427219	0.102041
achieve	0.315980	0.045034	0.342845	0.431228	0.172610	-0.060514	0.426978	-0.182871	-0.060514
achieved	0.395980	0.019034	0.274845	0.471470	0.101536	0.010402	0.405177	-0.261583	0.010402
achievement	0.395980	0.308034	0.258845	0.420611	0.331298	0.178924	0.531680	-0.063153	0.178924
aching	-0.447020	0.380034	-0.152155	-0.516084	0.302361	0.098178	-0.151125	0.578728	0.098178
achy	-0.333020	0.340034	-0.127155	-0.399616	0.264729	0.113666	-0.095379	0.469762	0.113666
acid	-0.235020	0.142034	0.065845	-0.192496	0.190365	-0.080314	-0.001507	0.270723	-0.080314
acidity	-0.344020	0.163034	-0.140155	-0.388942	0.113404	0.020898	-0.194835	0.355213	0.020898
acknowledge	0.285980	-0.129966	0.160845	0.343836	-0.065648	-0.044877	0.196708	-0.289549	-0.044877
acknowledged	0.213980	-0.056966	0.264845	0.320815	0.062442	-0.111149	0.271004	-0.182697	-0.111149
acknowledgement	0.318980	0.039034	0.329845	0.428457	0.160134	-0.053395	0.416197	-0.189733	-0.053395
acknowledgment	0.295980	0.028034	0.276845	0.384721	0.125996	-0.033883	0.361131	-0.182946	-0.033883
acme	-0.092020	-0.064966	-0.125155	-0.130025	-0.106768	0.006798	-0.167438	0.016445	0.006798
acne	-0.333020	-0.025966	-0.192155	-0.376251	-0.072471	-0.041030	-0.317295	0.214804	-0.041030
acorn	-0.052020	-0.301966	-0.308155	-0.148182	-0.407886	0.022803	-0.393200	-0.183638	0.022803
acoustic	0.041980	-0.037966	0.035845	0.059183	-0.018588	-0.025307	0.028705	-0.054992	-0.025307
acoustics	0.110980	-0.169966	0.008845	0.125491	-0.153135	-0.045659	-0.019548	-0.197019	-0.045659
acquaint	0.145980	-0.008966	0.138845	0.194260	0.044586	-0.030719	0.168889	-0.105835	-0.030719
acquaintance	0.155980	-0.209966	0.169845	0.247836	-0.106037	-0.156832	0.100267	-0.250226	-0.156832
acquainted	0.405980	-0.141966	0.131845	0.435309	-0.110410	0.025932	0.229738	-0.385882	0.025932
acquiescence	0.041980	-0.019966	0.053845	0.065160	0.006021	-0.027895	0.050332	-0.041818	-0.027895
acquire	0.332980	-0.031966	0.199845	0.388569	0.028851	0.004142	0.295160	-0.254359	0.004142
acquiring	0.234980	0.010034	0.316845	0.353980	0.142559	-0.100409	0.351106	-0.149497	-0.100409
acquisition	0.197980	0.009034	0.235845	0.283179	0.103726	-0.062856	0.273583	-0.126893	-0.062856
acquisitions	0.272980	0.160034	0.289845	0.351402	0.245617	0.018104	0.422156	-0.074801	0.018104
acquit	0.082980	0.071034	0.110845	0.114422	0.105459	0.002043	0.155479	-0.006338	0.002043
acquittal	0.259980	-0.002966	0.199845	0.321189	0.064420	-0.014956	0.272667	-0.181563	-0.014956
acre	0.082980	-0.112966	-0.077155	0.051395	-0.148263	0.031251	-0.068496	-0.141179	0.031251
acreage	0.240980	-0.049966	0.027845	0.228997	-0.064567	0.068810	0.116270	-0.207581	0.068810
acres	0.009980	-0.136966	-0.000155	0.028998	-0.114678	-0.069766	-0.060585	-0.101594	-0.069766
acrobat	0.207980	0.328034	0.101845	0.179671	0.292677	0.208070	0.334000	0.079907	0.208070
acrylic	0.081980	-0.220966	-0.080155	0.065215	-0.238833	-0.026020	-0.122767	-0.214995	-0.026020
act	0.155980	0.204034	0.234845	0.217303	0.270765	0.024024	0.345117	0.037803	0.024024
acting	0.197980	0.143034	-0.000155	0.149558	0.086346	0.172719	0.166809	-0.044698	0.172719
action	0.259980	0.398034	0.301845	0.310410	0.450555	0.133331	0.538083	0.099097	0.133331
action figure	0.114980	0.274034	0.110845	0.111745	0.267838	0.127976	0.268405	0.110374	0.127976
actionable	0.172980	0.202034	0.112845	0.173553	0.200268	0.115090	0.264331	0.018890	0.115090
activate	0.263980	0.150034	0.305845	0.352825	0.247476	-0.002669	0.424477	-0.074493	-0.002669
activation	0.280980	0.300034	0.253845	0.320074	0.340331	0.123023	0.466977	0.014323	0.123023
active	0.346980	0.230034	0.230845	0.376459	0.259582	0.132272	0.449749	-0.082644	0.132272
activist	0.030980	0.153034	0.376845	0.185318	0.325604	-0.161339	0.361277	0.099198	-0.161339
activity	0.200980	0.160034	0.306845	0.297401	0.266317	-0.028030	0.398609	-0.021980	-0.028030
actor	0.152980	0.061034	0.128845	0.185038	0.095801	0.017665	0.198583	-0.063100	0.017665
actress	0.132980	0.056034	0.095845	0.152625	0.076977	0.028106	0.162353	-0.053491	0.028106
actual	0.228980	-0.099966	0.215845	0.316603	-0.001990	-0.093662	0.222465	-0.225279	-0.093662
actuality	0.249980	-0.035966	0.099845	0.269340	-0.015421	0.031153	0.179548	-0.201356	0.031153
actuary	0.009980	-0.095966	-0.009155	0.018543	-0.085730	-0.041223	-0.047509	-0.073732	-0.041223
acuity	-0.031020	-0.121966	0.240845	0.107365	0.034883	-0.247184	0.100585	-0.051253	-0.247184
acumen	0.063980	0.160034	0.178845	0.117456	0.218781	-0.005373	0.237755	0.071647	-0.005373
acupuncture	0.030980	-0.175966	0.048845	0.076548	-0.123641	-0.114729	-0.033300	-0.141555	-0.114729
acute	-0.073020	0.152034	0.033845	-0.069477	0.155428	0.024633	0.060777	0.159032	0.024633
acutely	-0.083020	0.043034	-0.009155	-0.082537	0.043784	-0.009936	-0.027403	0.089322	-0.009936
ad	0.020980	0.205034	0.057845	0.015348	0.197172	0.081931	0.150275	0.128569	0.081931
adage	0.016980	-0.084966	0.065845	0.059051	-0.037114	-0.083538	0.015512	-0.067999	-0.083538
adamant	-0.156020	0.029034	0.074845	-0.103057	0.089413	-0.110324	-0.009648	0.136098	-0.110324
adapt	0.239980	-0.144966	0.050845	0.253392	-0.130317	0.000717	0.087027	-0.271324	0.000717
adaptable	0.234980	-0.076966	0.140845	0.282245	-0.024629	-0.026602	0.182162	-0.216992	-0.026602
adaptation	0.162980	-0.134966	0.108845	0.213316	-0.078344	-0.070597	0.095440	-0.206235	-0.070597
add	0.227980	-0.009966	0.053845	0.224312	-0.015397	0.066487	0.147725	-0.169500	0.066487
added	0.061980	-0.094966	0.008845	0.071970	-0.083442	-0.028213	-0.008111	-0.109893	-0.028213
addendum	-0.108020	-0.129966	-0.082155	-0.113437	-0.134533	-0.065893	-0.175341	-0.014917	-0.065893
adder	-0.112020	-0.038966	0.087845	-0.048642	0.033340	-0.135299	-0.010821	0.057970	-0.135299
addict	-0.425020	0.196034	-0.173155	-0.479715	0.135661	0.022883	-0.243283	0.435137	0.022883
addicted	-0.344020	0.212034	-0.017155	-0.337047	0.220509	-0.037114	-0.082405	0.394252	-0.037114
addiction	-0.320020	0.306034	-0.080155	-0.360684	0.260083	0.068981	-0.071136	0.438949	0.068981
addictive	-0.198020	0.183034	-0.028155	-0.211914	0.167332	0.024464	-0.031524	0.268168	0.024464
addition	0.061980	-0.126966	-0.029155	0.058456	-0.130443	-0.019480	-0.050902	-0.133571	-0.019480
additional	0.172980	-0.037966	0.025845	0.167511	-0.044904	0.044215	0.086696	-0.150200	0.044215
additive	0.060980	0.133034	0.190845	0.124674	0.203488	-0.029787	0.232046	0.055730	-0.029787
address	0.149980	-0.172966	0.066845	0.187544	-0.130390	-0.068594	0.040414	-0.224813	-0.068594
addressee	0.121980	-0.117966	0.037845	0.141187	-0.096267	-0.032034	0.031763	-0.167905	-0.032034
addresses	0.009980	-0.145966	-0.050155	0.006272	-0.149208	-0.040233	-0.101071	-0.109941	-0.040233
adept	0.093980	0.039034	0.288845	0.214390	0.173797	-0.132735	0.274490	-0.028704	-0.132735
adequacy	0.114980	-0.064966	0.201845	0.206176	0.037480	-0.119452	0.172292	-0.119286	-0.119452
adequate	0.353980	-0.235966	0.204845	0.439577	-0.140096	-0.100438	0.211765	-0.409891	-0.100438
adhere	0.132980	-0.160966	0.053845	0.164811	-0.124825	-0.061229	0.028275	-0.204804	-0.061229
adherence	0.259980	-0.192966	0.129845	0.315864	-0.130284	-0.070291	0.131225	-0.315474	-0.070291
